0 0 0
0 1 1
0 2 2
0 3 3
3 0 4
3 1 5
3 2 6
3 3 7
6 0 8
6 1 9
6 2 10
6 3 11
9 0 12
9 1 13
9 2 14
9 3 15
12 0 16
12 1 17
12 2 18
12 3 19
15 0 20
15 1 21
15 2 22
15 3 23
18 0 24
18 1 25
18 2 26
18 3 27
21 0 28
21 1 29
21 2 30
21 3 31
24 0 32
24 1 33
24 2 34
24 3 35
27 0 36
27 1 37
27 2 38
27 3 39
30 0 40
30 1 41
30 2 42
30 3 43
1.5 0.5 0
1.5 1.5 1
1.5 2.5 2
4.5 0.5 3
4.5 1.5 4
4.5 2.5 5
7.5 0.5 6
7.5 1.5 7
7.5 2.5 8
10.5 0.5 9
10.5 1.5 10
10.5 2.5 11
13.5 0.5 12
13.5 1.5 13
13.5 2.5 14
16.5 0.5 15
16.5 1.5 16
16.5 2.5 17
19.5 0.5 18
19.5 1.5 19
19.5 2.5 20
22.5 0.5 21
22.5 1.5 22
22.5 2.5 23
25.5 0.5 24
25.5 1.5 25
25.5 2.5 26
28.5 0.5 27
28.5 1.5 28
28.5 2.5 29
